STATE,DISTRICT,ISSUE
IA,2,JSON candidate NOT on SWC: Shannon Lundgren (R) [slug: shannon---lundgren]
IA,3,JSON candidate NOT on SWC: Easton Wolfe (D) [slug: easton---wolfe]
IA,3,JSON candidate NOT on SWC: Jennifer Konfrst (D) [slug: jennifer---konfrst]
IA,4,JSON candidate NOT on SWC: Ryan Rhodes (R) [slug: ryan---rhodes]
IA,4,JSON candidate NOT on SWC: Christian Schlaefer (R) [slug: christian---schlaefer]
IA,4,JSON candidate NOT on SWC: Jermaine Decker (I) [slug: jermaine---decker]
IA,4,JSON candidate NOT on SWC: Ryan Melton (D) [slug: ryan---michaelappleton---melton]
IA,4,JSON candidate NOT on SWC: Matt Windschitl (R) [slug: matt---windschitl]
IA,4,JSON candidate NOT on SWC: Douglas Jensen (R) [slug: douglas---jensen]
IA,17,JSON candidate NOT on SWC: Wali Muhammad (D) [slug: wali---muhammad]
ID,1,JSON candidate NOT on SWC: Andy Briner (R) [slug: andy---briner]
ID,2,JSON candidate NOT on SWC: Elinor Gilbreath (D) [slug: elinor---gilbreath]
IL,Senate,JSON candidate NOT on SWC: Steve Botsford Jr (D) [slug: steve---botsford]
IL,Senate,JSON candidate NOT on SWC: R Capparelli (R) [slug: r---capparelli]
IL,Senate,JSON candidate NOT on SWC: Casimer Chlebek (R) [slug: casimer---chlebek]
IL,Senate,JSON candidate NOT on SWC: Pamela Long (R) [slug: pamela---long]
IL,Senate,JSON candidate NOT on SWC: Bryan Maxwell (D) [slug: bryan---maxwell]
IL,Senate,JSON candidate NOT on SWC: Adam Delgado (D) [slug: adam---delgado]
